ts,potus
2018-06-01 18:37:22,1
2018-06-01 18:09:28,1
2018-06-01 17:28:57,1
2018-06-01 17:28:09,1
2018-06-01 16:58:27,1
2018-06-01 16:35:59,1
2018-06-01 16:19:36,1
2018-06-01 16:17:19,1
2018-06-01 16:02:00,1
2018-06-01 15:57:44,1
2018-06-01 15:51:51,1
2018-06-01 15:02:51,1
2018-06-01 14:53:21,1
2018-06-01 14:53:19,1
2018-06-01 14:32:56,1
2018-06-01 14:32:54,1
2018-06-01 11:24:38,1
2018-05-31 22:22:31,1
2018-05-31 22:22:22,1
2018-05-31 21:35:55,1
2018-05-31 21:08:29,1
2018-05-31 21:02:34,1
2018-05-31 19:01:29,1
2018-05-31 18:17:40,1
2018-05-31 17:27:54,1
2018-05-31 16:09:28,1
2018-05-31 15:43:25,1
2018-05-31 13:51:49,1
2018-05-31 13:19:49,1
2018-05-31 13:16:30,1
2018-05-31 03:13:50,1
2018-05-30 23:17:11,1
2018-05-30 21:11:30,1
2018-05-30 21:11:20,1
2018-05-30 21:11:16,1
2018-05-30 20:33:19,1
2018-05-30 19:45:37,1
2018-05-30 18:34:23,1
2018-05-30 18:25:28,1
2018-05-30 18:12:40,1
2018-05-30 17:36:31,1
2018-05-30 17:34:25,1
2018-05-30 17:33:12,1
2018-05-30 17:27:50,1
2018-05-30 17:21:47,1
2018-05-30 17:19:19,1
2018-05-30 17:19:17,1
2018-05-30 17:04:30,1
2018-05-30 17:01:35,1
2018-05-30 17:01:33,1
2018-05-30 16:58:26,1
2018-05-30 16:16:35,1
2018-05-30 00:12:57,1
2018-05-29 23:28:45,1
2018-05-29 21:39:30,1
2018-05-29 21:39:21,1
2018-05-29 20:02:17,1
2018-05-29 19:37:23,1
2018-05-29 19:04:39,1
2018-05-29 17:14:11,1
2018-05-29 02:38:45,1
2018-05-28 20:13:40,1
2018-05-28 20:13:38,1
2018-05-28 17:20:56,1
2018-05-28 17:17:33,1
2018-05-28 17:16:38,1
2018-05-28 17:14:29,1
2018-05-28 17:07:27,1
2018-05-28 17:01:50,1
2018-05-28 15:56:39,1
2018-05-28 15:02:24,1
2018-05-28 14:16:20,1
2018-05-28 14:16:12,1
2018-05-28 14:16:02,1
2018-05-28 11:04:23,1
2018-05-27 20:53:02,1
2018-05-27 20:11:06,1
2018-05-27 15:29:08,1
2018-05-27 13:14:59,1
2018-05-27 03:20:45,1
2018-05-27 01:51:50,1
2018-05-27 00:36:45,1
2018-05-26 16:31:32,1
2018-05-26 16:31:28,1
2018-05-26 16:30:55,1
2018-05-26 14:21:23,1
2018-05-26 14:21:17,1
2018-05-25 20:44:08,1
2018-05-25 17:26:13,1
2018-05-25 17:26:04,1
2018-05-25 17:13:16,1
2018-05-25 16:00:01,1
2018-05-25 15:59:57,1
2018-05-25 15:24:14,1
2018-05-25 15:24:02,1
2018-05-25 15:15:19,1
2018-05-25 14:20:20,1
2018-05-25 12:46:46,1
2018-05-25 12:46:44,1
2018-05-25 02:08:27,1
2018-05-25 02:06:57,1
2018-05-25 02:06:41,1
2018-05-25 00:54:21,1
2018-05-24 21:19:23,1
2018-05-24 20:25:15,1
2018-05-24 19:44:19,1
2018-05-24 19:11:03,1
2018-05-24 18:42:21,1
2018-05-24 18:07:58,1
2018-05-24 18:07:56,1
2018-05-24 17:55:55,1
2018-05-24 17:51:16,1
2018-05-24 17:51:14,1
2018-05-24 17:51:08,1
2018-05-24 16:59:23,1
2018-05-24 16:39:35,1
2018-05-24 16:30:46,1
2018-05-24 16:28:14,1
2018-05-24 16:19:43,1
2018-05-24 14:33:19,1
2018-05-24 13:47:16,1
2018-05-24 02:51:49,1
2018-05-24 02:45:02,1
2018-05-24 02:44:36,1
2018-05-24 02:43:56,1
2018-05-24 02:43:37,1
2018-05-24 01:16:54,1
2018-05-24 00:41:57,1
2018-05-24 00:16:02,1
2018-05-23 23:43:15,1
2018-05-23 21:43:51,1
2018-05-23 20:35:09,1
2018-05-23 19:56:35,1
2018-05-23 19:52:48,1
2018-05-23 19:48:56,1
2018-05-23 19:42:16,1
2018-05-23 19:31:50,1
2018-05-23 19:31:41,1
2018-05-23 19:31:39,1
2018-05-23 18:15:41,1
2018-05-23 18:02:05,1
2018-05-23 17:55:35,1
2018-05-23 17:34:20,1
2018-05-23 17:04:42,1
2018-05-23 16:31:46,1
2018-05-23 16:31:32,1
2018-05-23 16:11:15,1
2018-05-23 16:11:14,1
2018-05-23 16:07:17,1
2018-05-23 16:07:14,1
2018-05-23 16:07:11,1
2018-05-23 16:07:09,1
2018-05-23 15:23:07,1
2018-05-23 15:18:35,1
2018-05-23 14:19:44,1
2018-05-23 14:19:26,1
2018-05-23 13:26:20,1
2018-05-23 12:05:10,1
2018-05-23 12:01:44,1
2018-05-23 11:57:09,1
2018-05-23 02:33:52,1
2018-05-23 00:42:49,1
2018-05-23 00:42:47,1
2018-05-23 00:42:38,1
2018-05-23 00:42:32,1
2018-05-23 00:42:30,1
2018-05-22 23:30:05,1
2018-05-22 22:05:20,1
2018-05-22 22:05:18,1
2018-05-22 20:16:52,1
2018-05-22 19:37:03,1
2018-05-22 19:06:23,1
2018-05-22 18:41:49,1
2018-05-22 18:24:40,1
2018-05-22 17:39:12,1
2018-05-22 17:39:09,1
2018-05-22 16:56:11,1
2018-05-22 16:06:26,1
2018-05-22 16:06:20,1
2018-05-22 03:08:00,1
2018-05-22 00:44:37,1
2018-05-22 00:44:32,1
2018-05-22 00:44:29,1
2018-05-21 23:05:47,1
2018-05-21 21:45:41,1
2018-05-21 21:45:38,1
2018-05-21 20:15:30,1
2018-05-21 19:22:54,1
2018-05-21 19:17:53,1
2018-05-21 18:29:22,1
2018-05-21 18:29:20,1
2018-05-21 18:29:18,1
2018-05-21 13:18:49,1
2018-05-21 13:18:34,1
2018-05-21 13:18:31,1
2018-05-21 13:18:29,1
2018-05-21 13:18:07,1
2018-05-21 13:18:04,1
2018-05-21 13:17:58,1
2018-05-19 19:35:50,1
2018-05-19 18:04:52,1
2018-05-19 18:04:50,1
2018-05-19 18:04:47,1
2018-05-19 18:04:39,1
2018-05-18 20:25:31,1
2018-05-18 20:09:29,1
2018-05-18 16:27:28,1
2018-05-18 15:47:14,1
2018-05-18 15:47:12,1
2018-05-18 15:47:05,1
2018-05-18 13:42:35,1
2018-05-18 13:42:33,1
2018-05-18 13:42:22,1
2018-05-18 02:07:55,1
2018-05-18 02:07:53,1
2018-05-17 22:20:11,1
2018-05-17 22:20:08,1
2018-05-17 22:20:05,1
2018-05-17 21:03:50,1
2018-05-17 20:40:00,1
2018-05-17 20:39:57,1
2018-05-17 20:39:54,1
2018-05-17 20:39:52,1
2018-05-17 20:39:49,1
2018-05-17 20:39:46,1
2018-05-17 15:26:59,1
2018-05-17 15:26:57,1
2018-05-17 15:26:55,1
2018-05-17 11:57:35,1
2018-05-17 00:29:33,1
2018-05-17 00:29:31,1
2018-05-17 00:29:30,1
2018-05-16 19:57:35,1
2018-05-16 18:28:32,1
2018-05-16 17:22:59,1
2018-05-16 16:19:07,1
2018-05-16 16:19:05,1
2018-05-16 14:12:42,1
2018-05-16 14:12:41,1
2018-05-16 14:12:09,1
2018-05-16 14:12:07,1
2018-05-16 14:12:05,1
2018-05-15 21:13:27,1
2018-05-15 20:50:54,1
2018-05-15 20:50:51,1
2018-05-15 20:31:07,1
2018-05-15 18:59:49,1
2018-05-15 18:42:10,1
2018-05-15 12:39:25,1
2018-05-15 12:39:23,1
2018-05-15 12:39:18,1
2018-05-14 21:25:23,1
2018-05-14 20:46:35,1
2018-05-14 20:08:28,1
2018-05-14 19:50:18,1
2018-05-14 19:50:14,1
2018-05-14 16:32:51,1
2018-05-14 16:32:42,1
2018-05-14 15:32:25,1
2018-05-14 13:33:40,1
2018-05-14 13:02:50,1
2018-05-14 11:15:53,1
2018-05-14 11:15:50,1
2018-05-13 20:12:53,1
2018-05-13 19:23:04,1
2018-05-13 19:23:02,1
2018-05-13 14:06:40,1
2018-05-13 13:06:37,1
2018-05-13 12:31:32,1
2018-05-12 22:26:09,1
2018-05-12 22:26:06,1
2018-05-12 22:25:54,1
2018-05-12 22:25:45,1
2018-05-12 22:25:41,1
2018-05-12 14:16:48,1
2018-05-11 23:51:20,1
2018-05-11 20:58:16,1
2018-05-11 20:41:29,1
2018-05-11 20:41:24,1
2018-05-11 19:33:44,1
2018-05-11 18:32:20,1
2018-05-11 15:21:51,1
2018-05-11 13:01:06,1
2018-05-11 13:01:03,1
2018-05-11 13:01:01,1
2018-05-11 13:00:57,1
2018-05-11 13:00:53,1
2018-05-11 13:00:51,1
2018-05-11 13:00:49,1
2018-05-10 15:04:31,1
2018-05-10 15:04:29,1
2018-05-10 14:02:47,1
2018-05-10 10:02:10,1
2018-05-10 02:20:40,1
2018-05-10 01:20:00,1
2018-05-10 01:18:29,1
2018-05-10 01:14:27,1
2018-05-10 01:14:25,1
2018-05-10 01:14:20,1
2018-05-10 01:14:19,1
2018-05-09 20:23:31,1
2018-05-09 20:23:28,1
2018-05-09 20:23:26,1
2018-05-09 17:31:43,1
2018-05-09 17:31:40,1
2018-05-09 17:31:38,1
2018-05-09 14:56:12,1
2018-05-09 14:56:10,1
2018-05-09 14:17:16,1
2018-05-09 14:17:12,1
2018-05-09 14:17:08,1
2018-05-09 14:17:05,1
2018-05-09 14:17:02,1
2018-05-09 14:16:58,1
2018-05-09 14:16:55,1
2018-05-09 14:16:52,1
2018-05-08 20:38:53,1
2018-05-08 20:38:49,1
2018-05-08 20:38:46,1
2018-05-08 18:56:54,1
2018-05-08 18:51:22,1
2018-05-08 18:51:19,1
2018-05-08 18:51:17,1
2018-05-08 17:41:29,1
2018-05-08 17:41:26,1
2018-05-08 17:41:22,1
2018-05-07 16:33:33,1
2018-05-07 16:33:31,1
2018-05-07 15:06:43,1
2018-05-06 18:22:43,1
2018-05-06 18:22:40,1
2018-05-06 18:22:38,1
2018-05-06 18:22:35,1
2018-05-05 21:38:11,1
2018-05-05 17:37:23,1
2018-05-05 16:27:18,1
2018-05-05 16:27:15,1
2018-05-04 23:34:37,1
2018-05-04 22:58:00,1
2018-05-04 22:57:59,1
2018-05-04 22:57:57,1
2018-05-04 22:57:00,1
2018-05-04 22:00:27,1
2018-05-04 22:00:26,1
2018-05-04 19:11:55,1
2018-05-04 19:11:53,1
2018-05-04 19:11:51,1
2018-05-04 14:49:32,1
2018-05-04 14:49:28,1
2018-05-03 21:21:25,1
2018-05-03 21:21:22,1
2018-05-03 18:22:34,1
2018-05-03 16:56:28,1
2018-05-03 16:56:25,1
2018-05-03 16:56:22,1
2018-05-03 16:27:42,1
2018-05-03 15:50:35,1
2018-05-03 15:29:35,1
2018-05-03 13:56:32,1
2018-05-02 22:42:00,1
2018-05-02 20:39:20,1
2018-05-02 20:31:30,1
2018-05-02 20:16:42,1
2018-05-02 18:17:05,1
2018-05-02 16:45:49,1
2018-05-02 16:08:20,1
2018-05-02 15:48:57,1
2018-05-02 15:17:48,1
2018-05-02 14:47:07,1
2018-05-02 13:55:13,1
2018-05-01 19:44:47,1
2018-05-01 18:14:56,1
2018-05-01 16:59:25,1
2018-05-01 16:03:26,1
2018-05-01 15:24:07,1
2018-04-29 04:37:12,1
2018-04-29 04:35:42,1
2018-04-29 01:18:20,1
2018-04-29 01:17:42,1
2018-04-28 14:33:50,1
2018-04-27 20:05:12,1
2018-04-27 20:03:10,1
2018-04-27 20:03:08,1
2018-04-27 14:50:24,1
2018-04-26 22:22:00,1
2018-04-26 22:16:03,1
2018-04-26 20:35:45,1
2018-04-26 20:10:42,1
2018-04-26 20:10:33,1
2018-04-26 15:26:51,1
2018-04-26 14:50:31,1
2018-04-26 14:50:25,1
2018-04-25 23:55:03,1
2018-04-25 18:49:05,1
2018-04-25 16:48:45,1
2018-04-25 13:43:43,1
2018-04-24 20:21:24,1
2018-04-24 19:19:12,1
2018-04-24 18:42:30,1
2018-04-24 17:57:28,1
2018-04-24 17:57:00,1
2018-04-24 16:44:47,1
2018-04-24 16:44:41,1
2018-04-24 16:44:33,1
2018-04-23 17:56:34,1
2018-04-23 17:56:16,1
2018-04-23 17:56:07,1
2018-04-22 20:14:46,1
2018-04-21 16:19:59,1
2018-04-21 15:48:24,1
2018-04-21 15:48:21,1
2018-04-21 15:48:19,1
2018-04-20 21:25:08,1
2018-04-20 21:13:11,1
2018-04-20 20:50:13,1
2018-04-20 20:49:58,1
2018-04-20 18:28:55,1
2018-04-19 22:31:57,1
2018-04-19 21:54:38,1
2018-04-19 21:45:02,1
2018-04-19 21:34:09,1
2018-04-19 20:50:49,1
2018-04-19 20:50:41,1
2018-04-19 20:22:39,1
2018-04-19 19:52:06,1
2018-04-19 18:27:57,1
2018-04-19 17:16:20,1
2018-04-19 15:54:26,1
2018-04-19 15:54:24,1
2018-04-19 15:01:00,1
2018-04-19 03:24:21,1
2018-04-19 01:55:16,1
2018-04-19 01:55:14,1
2018-04-19 01:48:45,1
2018-04-19 01:48:15,1
2018-04-19 01:47:32,1
2018-04-19 01:47:09,1
2018-04-18 21:33:22,1
2018-04-18 21:33:20,1
2018-04-18 17:42:57,1
2018-04-18 17:42:44,1
2018-04-18 16:44:36,1
2018-04-18 12:49:31,1
2018-04-18 12:48:36,1
2018-04-18 12:47:53,1
2018-04-18 12:47:37,1
2018-04-18 12:47:25,1
2018-04-18 12:47:21,1
2018-04-18 12:47:06,1
2018-04-18 12:46:36,1
2018-04-18 02:32:18,1
2018-04-18 02:26:16,1
2018-04-17 20:50:29,1
2018-04-17 19:08:17,1
2018-04-17 18:37:23,1
2018-04-17 18:24:34,1
2018-04-17 18:24:27,1
